xco,yco,ensemble,duration1_1980,duration1_2080,duration2_1980,duration2_2080,duration3_1980,duration3_2080,duration4_1980,duration4_2080,duration5_1980,duration5_2080,duration6_1980,duration6_2080,duration7_1980,duration7_2080,duration8_1980,duration8_2080,duration9_1980,duration9_2080
54,114,01,93846.0,113196.0,39232.0,48315.0,20894.0,25746.0,11626.0,14446.0,6783.0,8496.0,3848.0,5053.0,2431.0,2976.0,1439.0,1914.0,937.0,1133.0
54,116,01,90925.0,86974.0,39082.0,37097.0,21464.0,20383.0,12067.0,11693.0,7038.0,6921.0,4009.0,4054.0,2360.0,2397.0,1499.0,1404.0,857.0,890.0
54,118,01,87969.0,85643.0,37586.0,36327.0,20390.0,19514.0,11763.0,11155.0,6809.0,6522.0,3950.0,3923.0,2430.0,2392.0,1500.0,1490.0,935.0,905.0
54,120,01,81892.0,99378.0,34300.0,41759.0,18020.0,22828.0,9976.0,12630.0,5508.0,7209.0,3269.0,4256.0,1836.0,2546.0,1163.0,1443.0,696.0,880.0
54,122,01,96855.0,126068.0,40610.0,52516.0,20829.0,27814.0,11252.0,15183.0,6084.0,8200.0,3416.0,4516.0,1906.0,2555.0,1145.0,1446.0,574.0,860.0
54,124,01,126565.0,162226.0,55875.0,71847.0,24916.0,31909.0,11423.0,14502.0,5525.0,6952.0,2669.0,3325.0,1375.0,1578.0,676.0,890.0,367.0,453.0
54,167,01,131488.0,89174.0,52798.0,33376.0,26817.0,16979.0,12913.0,9277.0,6572.0,5373.0,3370.0,3226.0,1729.0,2040.0,993.0,1297.0,575.0,859.0
55,111,01,81297.0,89574.0,33166.0,35392.0,18548.0,20265.0,10823.0,11843.0,6384.0,7080.0,3912.0,4226.0,2397.0,2701.0,1435.0,1657.0,900.0,1066.0
55,113,01,82385.0,87320.0,34944.0,36670.0,18934.0,19844.0,10957.0,11113.0,6460.0,6853.0,3953.0,3910.0,2280.0,2383.0,1388.0,1554.0,882.0,882.0
55,115,01,83974.0,90017.0,36781.0,38062.0,19351.0,20566.0,10833.0,11417.0,6226.0,6633.0,3691.0,3917.0,2178.0,2346.0,1319.0,1505.0,911.0,959.0
55,117,01,79179.0,67692.0,34700.0,29142.0,18510.0,16596.0,10317.0,9244.0,5951.0,5517.0,3489.0,3200.0,2051.0,1958.0,1244.0,1186.0,728.0,691.0
55,119,01,99282.0,91932.0,43466.0,39834.0,22924.0,21057.0,12949.0,11546.0,7129.0,6598.0,4284.0,3755.0,2431.0,2281.0,1450.0,1351.0,862.0,782.0
55,121,01,87270.0,84472.0,36812.0,34885.0,18490.0,17895.0,9826.0,9409.0,5490.0,5101.0,3118.0,2922.0,1737.0,1758.0,974.0,959.0,622.0,619.0
55,123,01,100196.0,122215.0,44940.0,52818.0,22239.0,26353.0,11262.0,13623.0,5851.0,7014.0,3076.0,3723.0,1561.0,1913.0,822.0,951.0,405.0,496.0
55,168,01,126506.0,95263.0,52676.0,40240.0,25620.0,20171.0,12069.0,10616.0,5921.0,6183.0,2858.0,3647.0,1489.0,2261.0,842.0,1373.0,460.0,894.0
55,172,01,130654.0,107674.0,55229.0,45683.0,28035.0,22431.0,14389.0,12281.0,7617.0,7167.0,4180.0,4179.0,2229.0,2533.0,1208.0,1475.0,747.0,995.0
55,174,01,120754.0,116468.0,55865.0,55541.0,24839.0,24908.0,11517.0,11788.0,5732.0,5543.0,2908.0,2809.0,1562.0,1514.0,940.0,853.0,537.0,468.0
55,182,01,137093.0,160541.0,55271.0,62731.0,26131.0,31459.0,12608.0,15631.0,6047.0,7523.0,2824.0,3690.0,1506.0,1973.0,867.0,1098.0,591.0,738.0
56,111,01,96700.0,91321.0,40900.0,35335.0,22481.0,19507.0,12691.0,10703.0,7289.0,6306.0,4297.0,3778.0,2658.0,2216.0,1668.0,1379.0,929.0,846.0
56,113,01,80085.0,83083.0,33592.0,32178.0,18595.0,17021.0,10317.0,9728.0,6137.0,5691.0,3478.0,3270.0,2052.0,1951.0,1268.0,1190.0,713.0,649.0
56,115,01,92094.0,116115.0,38533.0,47952.0,20814.0,26137.0,11591.0,14658.0,6688.0,8525.0,4007.0,5012.0,2454.0,3027.0,1421.0,1769.0,836.0,1195.0
56,117,01,97136.0,95735.0,42168.0,41636.0,22072.0,22252.0,12420.0,12585.0,7205.0,7368.0,4209.0,4396.0,2429.0,2575.0,1533.0,1550.0,967.0,954.0
56,119,01,95309.0,123045.0,40030.0,54815.0,20922.0,30437.0,11882.0,17136.0,7014.0,10123.0,3941.0,5919.0,2431.0,3631.0,1439.0,2138.0,813.0,1289.0
56,121,01,81442.0,99580.0,35911.0,43696.0,17902.0,22506.0,9458.0,11811.0,5038.0,6512.0,2697.0,3641.0,1617.0,2065.0,915.0,1214.0,549.0,682.0
56,123,01,96913.0,115755.0,42440.0,49809.0,21590.0,25615.0,11421.0,13308.0,6223.0,7132.0,3538.0,4046.0,1975.0,2216.0,1061.0,1217.0,554.0,594.0
56,170,01,124381.0,93004.0,50369.0,37644.0,25553.0,21292.0,14019.0,12517.0,8107.0,7593.0,4607.0,4663.0,2734.0,2780.0,1567.0,1768.0,1010.0,1153.0
56,172,01,115835.0,91058.0,50156.0,41925.0,25093.0,21336.0,13409.0,11941.0,7214.0,6821.0,3888.0,4033.0,2205.0,2515.0,1154.0,1573.0,666.0,945.0
56,174,01,112854.0,136471.0,50799.0,63834.0,22802.0,34029.0,10938.0,18604.0,5417.0,10540.0,2648.0,6144.0,1456.0,3500.0,701.0,2019.0,375.0,1203.0
56,176,01,125589.0,146048.0,59134.0,71499.0,25124.0,34423.0,10726.0,17276.0,4881.0,9107.0,2264.0,4954.0,1057.0,2706.0,543.0,1540.0,292.0,975.0
56,178,01,129547.0,133055.0,57278.0,57791.0,25383.0,27729.0,11218.0,14319.0,5282.0,7683.0,2457.0,4245.0,1198.0,2508.0,593.0,1398.0,295.0,835.0
56,180,01,135673.0,125880.0,59136.0,51901.0,26756.0,27067.0,13015.0,13714.0,6471.0,7061.0,3372.0,3665.0,1736.0,1950.0,994.0,1071.0,556.0,641.0
56,182,01,112222.0,105817.0,47924.0,44258.0,21615.0,20463.0,10517.0,9561.0,5209.0,4783.0,2854.0,2629.0,1832.0,1675.0,1283.0,1114.0,950.0,827.0
57,107,01,88243.0,126548.0,34294.0,48069.0,19014.0,26858.0,11051.0,16355.0,6603.0,9968.0,3984.0,6362.0,2510.0,4061.0,1414.0,2698.0,925.0,1698.0
57,109,01,91835.0,96911.0,34122.0,33985.0,19387.0,19211.0,11409.0,11174.0,6854.0,6989.0,4211.0,4208.0,2561.0,2701.0,1630.0,1623.0,886.0,1030.0
57,111,01,91763.0,90897.0,35724.0,32355.0,19908.0,18445.0,11813.0,10725.0,6973.0,6322.0,4185.0,3904.0,2565.0,2384.0,1549.0,1406.0,954.0,882.0
57,113,01,90933.0,82189.0,40343.0,32577.0,21598.0,17095.0,12115.0,9228.0,6696.0,5330.0,3948.0,3119.0,2328.0,1832.0,1385.0,1080.0,815.0,692.0
57,115,01,91090.0,99774.0,37753.0,39383.0,20497.0,21064.0,11295.0,11757.0,6630.0,6932.0,3872.0,4057.0,2327.0,2500.0,1375.0,1494.0,858.0,877.0
57,117,01,95344.0,119474.0,42841.0,55963.0,21778.0,29292.0,11816.0,16500.0,6209.0,9468.0,3535.0,5565.0,2045.0,3325.0,1133.0,1973.0,649.0,1233.0
57,119,01,105280.0,76249.0,46451.0,33189.0,24395.0,17321.0,13096.0,9823.0,7556.0,5721.0,4380.0,3376.0,2558.0,1978.0,1520.0,1222.0,985.0,748.0
57,121,01,100146.0,107629.0,42323.0,44695.0,20160.0,21525.0,10237.0,11037.0,5456.0,5789.0,3054.0,3151.0,1736.0,1895.0,976.0,1120.0,641.0,602.0
57,123,01,85901.0,88528.0,38291.0,41239.0,19058.0,20726.0,9818.0,10821.0,5331.0,5798.0,2926.0,3157.0,1747.0,1829.0,958.0,1048.0,552.0,584.0
57,125,01,109154.0,161270.0,42422.0,65817.0,19551.0,31721.0,9291.0,15292.0,4383.0,7415.0,2217.0,3596.0,1141.0,1726.0,520.0,830.0,268.0,385.0
57,170,01,141350.0,88496.0,60960.0,37235.0,30031.0,20805.0,15747.0,12009.0,8428.0,7207.0,4531.0,4448.0,2501.0,2853.0,1467.0,1793.0,860.0,1159.0
57,172,01,112217.0,92905.0,48774.0,41844.0,23712.0,21516.0,11761.0,12030.0,6160.0,7065.0,3328.0,4043.0,1799.0,2514.0,980.0,1625.0,583.0,1000.0
57,174,01,102182.0,103744.0,45258.0,44142.0,20558.0,23834.0,10266.0,12847.0,5529.0,7181.0,2970.0,4015.0,1716.0,2257.0,976.0,1339.0,579.0,786.0
57,176,01,114747.0,136199.0,48459.0,58639.0,20973.0,28678.0,10107.0,14485.0,5068.0,7495.0,2605.0,3770.0,1313.0,1960.0,700.0,1013.0,361.0,522.0
57,178,01,112900.0,111490.0,48323.0,49713.0,23291.0,23276.0,10734.0,12292.0,5328.0,6485.0,2477.0,3731.0,1184.0,2065.0,594.0,1245.0,338.0,710.0
57,180,01,110977.0,117616.0,46859.0,50164.0,21495.0,25254.0,10229.0,13726.0,4984.0,7597.0,2310.0,4283.0,1134.0,2311.0,550.0,1349.0,260.0,783.0
57,182,01,101102.0,111592.0,45749.0,51133.0,21250.0,23903.0,10533.0,11884.0,5281.0,6095.0,2724.0,3318.0,1516.0,1844.0,821.0,1067.0,498.0,632.0
